"","country","le_1990","le_2010","hale_1990","hale_2010","yld_1990","yld_2010"
"1","ARG",72.543,75.957,63.164,66.114,9.379,9.84299999999999
"2","AUS",76.869,81.501,66.42,70.096,10.449,11.405
"3","FRA",77.067,80.927,66.519,69.484,10.548,11.443
"4","GBR",75.651,79.906,65.427,68.624,10.224,11.282
"5","GRC",76.919,79.582,66.509,68.668,10.41,10.914
"6","AUT",75.708,80.612,65.787,69.134,9.92099999999999,11.478
"7","BEL",75.916,79.531,65.733,68.542,10.183,10.989
"8","BGR",71.386,73.526,62.495,64.103,8.891,9.423
"9","HUN",69.381,74.472,60.191,64.247,9.19,10.225
"10","IDN",64.969,69.723,56.17,60.882,8.79899999999999,8.841
"11","KOR",72.132,79.714,63.843,70.301,8.289,9.413
"12","IND",58.299,65.213,49.751,56.2,8.548,9.01299999999999
"13","TUR",67.1,74.361,57.563,63.851,9.53699999999999,10.51
"14","IRL",74.827,79.926,65.244,68.868,9.583,11.058
"15","ITA",76.951,81.47,66.715,70.17,10.236,11.3
"16","JPN",79.102,82.647,70.063,73.096,9.039,9.551
"17","ZAF",64.634,59.899,55.483,50.982,9.151,8.917
"18","LTU",71.254,74.148,61.743,64.29,9.511,9.85799999999999
"19","HRV",71.892,76.732,61.832,65.995,10.06,10.737
"20","LUX",75.309,80.169,65.192,68.433,10.117,11.736
"21","CAN",77.196,80.634,66.975,69.598,10.221,11.036
"22","BRA",69.108,74.078,59.419,63.826,9.68900000000001,10.252
"23","LVA",69.767,73.87,60.45,63.756,9.31699999999999,10.114
"24","MEX",71.525,75.466,62.958,66.907,8.56700000000001,8.559
"25","CHN",69.272,75.719,61.702,67.771,7.57000000000001,7.94799999999999
"26","ESP",76.914,81.354,67.461,70.92,9.453,10.434
"27","NLD",77.017,80.587,66.543,69.076,10.474,11.511
"28","POL",70.897,76.348,61.539,66.056,9.358,10.292
"29","MLT",77.193,80.054,66.577,68.683,10.616,11.371
"30","CYP",78.026,80.226,67.1,68.825,10.926,11.401
"31","PRT",74.261,79.363,64.384,68.588,9.877,10.775
"32","ROU",69.858,73.81,60.876,64.358,8.98200000000001,9.452
"33","RUS",68.723,68.857,59.73,59.915,8.993,8.942
"34","SAU",74.011,77.129,62.456,65.07,11.555,12.059
"35","SVK",70.959,75.381,61.236,65.371,9.72300000000001,10.01
"36","CZE",71.602,77.523,62.441,67.243,9.161,10.28
"37","DEU",75.367,80.232,65.307,69.019,10.06,11.213
"38","SVN",73.079,79.279,63.243,68.275,9.83599999999999,11.004
"39","SWE",77.637,81.394,66.814,69.64,10.823,11.754
"40","USA",75.203,78.236,65.608,67.928,9.595,10.308
"41","EST",69.839,75.89,60.984,65.684,8.855,10.206
"42","FIN",75.088,80.087,63.846,67.304,11.242,12.783
"43","DNK",75.16,78.911,65.299,67.871,9.86099999999999,11.04
